,Flight Record,Flight Date (Exact),Tail Number,Airframe,Fleet,Takeoff Airport Code,Landing Airport Code,P14: Event Record,P14: Event Type,P14: Severity,P14: False Positive,P14: Start of Event - 10 seconds Seconds (From Start of File),P14: End of Event + 10 seconds Seconds (From Start of File),P14: Data Dropouts (seconds),P14: Error b/w GMT and Recorded Time around event (%),P14: Estimated Nav Error at Start of Event (nm),P14: Standard Deviation of Sample Rate of GMT (Event Interval +/- 30 Seconds (Hz),P14: Flap Handle Position at Start of Event,P14: Speed Brake Handle Position at Start of Event (deg),P14: Flap Position at Start of Event (deg+=TED),P14: Duration of Event (Seconds),P14: Terrain Elevation at Start of Event (ft),P14: Uncertainty in Touchdown Position based on Recorded Position (ft),target
214,2875593,2020-03-02 05:42:08+00:00,VH-VXG,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41103198,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,4346.0,4384.0,4.0,0.00021561332370923913,0.044879638359130246,0.0,0.0,-1.378301739692688,0.014252554725956273,18.0,2746.06298828125,99.99999181704001,1
215,2875595,2020-03-02 05:59:24+00:00,VH-VYF,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,41103215,Climb Speed High,Level 2,Not a False Positive,1406.0,1428.0,2.0,-0.0002126224705430328,0.0230009384539333,0.0,5.0,-0.8263902068138123,5.0374897106273755,2.0,10.468814849853516,99.99999181704001,0
216,2875561,2020-03-02 03:16:53+00:00,VH-VZQ,737-800,QFA - 737-800 (1024 wps),NZWN,YSSY,41103376,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,620.75,640.75,0.0,-9.5367431640625e-05,0.013670103380304614,0.0,5.0,-0.36699384450912476,5.0374897106273755,0.0,30.75504446029663,99.99999181704001,0
217,2870804,2020-02-27 02:09:57+00:00,VH-VXU,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,41107545,Airborne Speed High,Level 3,Not a False Positive,501.0,521.0,0.0,0.0006198883056640625,0.006257032325983606,0.0,5.0,-0.36699384450912476,5.156261340991871,0.0,9.187087059020996,99.99999181704001,0
218,2875258,2020-03-01 23:00:14+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YBBN,YMML,41103720,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,7614.0,7634.0,0.0,-9.5367431640625e-05,0.0021135860163120747,0.0,30.0,3.928011894226074,17.519577026367188,0.0,757.8740234375,99.99999181704001,1
219,2875017,2020-03-01 21:58:15+00:00,VH-VXG,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41103827,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,3327.0,3357.0,2.0,0.001995380108173077,0.0027050780024974463,0.0,0.0,-1.378301739692688,0.01900340576429625,10.0,1988.18896484375,99.99999181704001,1
220,2874968,2020-03-01 20:53:36+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,41103858,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,5686.0,5706.0,2.0,-0.00152587890625,0.005425016459199297,0.0,30.0,4.0189409255981445,23.105517069498696,0.0,16.404199600219727,99.99999181704001,1
221,2874967,2020-03-01 07:28:04+00:00,VH-VYG,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41103897,Late Landing Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,6396.0,6416.0,4.0,0.00133514404296875,0.008001688835572432,0.0,30.0,2.1967811584472656,16.464889526367188,0.0,0.0,99.99999181704001,1
222,2874782,2020-03-01 08:40:43+00:00,VH-XZF,737-800,QFA - 737-800 (1024 wps),YSSY,NZCH,41104133,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1286.25,1306.25,0.0,-0.00152587890625,0.013614658056826805,0.0,5.0,-1.0562713742256165,5.061244449099979,0.0,11.892539978027344,99.99999181704001,0
223,2874729,2020-03-01 09:09:18+00:00,VH-VYD,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,41104205,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1017.5,1037.5,0.0,0.00133514404296875,0.015978507324800408,0.0,5.0,-1.1022591590881348,4.96548369124129,0.0,12.606126308441162,99.99999181704001,0
