flight_record,flight_date_exact,tail_number,airframe,fleet,takeoff_airport_code,landing_airport_code,p14_event_record,p14_event_type,p14_severity,p14_false_positive,p14_start_of_event_10_seconds_seconds_from_start_of_file,p14_end_of_event_10_seconds_seconds_from_start_of_file,p14_duration_of_event_seconds,p14_terrain_elevation_at_start_of_event_ft,p14_data_dropouts_seconds,p14_error_b_w_gmt_and_recorded_time_around_event_percent,p14_estimated_nav_error_at_start_of_event_nm,p14_standard_deviation_of_sample_rate_of_gmt_event_interval_30_seconds_hz,p14_flap_handle_position_at_start_of_event,p14_speed_brake_handle_position_at_start_of_event_deg,p14_flap_position_at_start_of_event_deg_ted,target
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619416,GPWS: Sink Rate,Level 2,Bad Parameter: Bad Sensor on Airplane,3893,3913,0,467.0773621,2,-9.54E-05,0.030235106,0,1,0.183647752,0.147276389,1
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619417,GPWS: Pull Up,Level 2,Bad Parameter: Bad Sensor on Airplane,3893,3913,0,467.0773621,2,-9.54E-05,0.030235106,0,1,0.183647752,0.147276389,1
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619418,GPWS: Terrain,Level 2,Bad Parameter: Bad Sensor on Airplane,3893,3913,0,467.0773621,2,-9.54E-05,0.030235106,0,1,0.183647752,0.147276389,1
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619419,GPWS: Terrain Pull Up,Level 2,Bad Parameter: Bad Sensor on Airplane,3893,3913,0,467.0773621,2,-9.54E-05,0.030235106,0,1,0.183647752,0.147276389,1
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619420,GPWS: Too Low Terrain,Level 2,Bad Parameter: Bad Sensor on Airplane,3893,3913,0,467.0773621,2,-9.54E-05,0.030235106,0,1,0.183647752,0.147276389,1
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619422,GPWS: Too Low Gear,Level 2,Bad Parameter: Bad Sensor on Airplane,3893,3913,0,467.0773621,2,-9.54E-05,0.030235106,0,1,0.183647752,0.147276389,1
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619424,GPWS: Too Low Flap,Level 2,Bad Parameter: Bad Sensor on Airplane,3893,3913,0,467.0773621,2,-9.54E-05,0.030235106,0,1,0.183647752,0.147276389,1
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619426,GPWS: Glideslope,Level 2,Bad Parameter: Bad Sensor on Airplane,3893,3913,0,467.0773621,2,-9.54E-05,0.030235106,0,1,0.183647752,0.147276389,1
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619427,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,255,4192.75,3917.75,398.5231934,2,1.67E-05,0.008517084,0,5,-1.010283589,5.013735488,1
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619432,GPWS: Don't Sink,Level 2,Bad Parameter: Bad Sensor on Airplane,288,400,92,396.657196,2,3.96E-05,0.050627502,0,5,-1.010283589,4.979736225,1
2741632,16/10/2019 3:02,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619433,GPWS: Don't Sink,Level 2,Bad Parameter: Bad Sensor on Airplane,3895,3934,19,507.7690125,2,-4.56E-04,0.031097736,0,1,0.183647752,0.728040876,1
2741775,16/10/2019 5:14,VH-VXA,737-800,QFA - 737-800 (1024 wps),YBCG,YSSY,40619143,Pitch Rate Low during Rotation,Level 2,Not a False Positive,64,88,4,62.4695816,0.5,280.6452597,7.79E-04,0,5,-0.366993845,5.180015564,0
2741919,16/10/2019 8:16,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619004,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,459,4279.5,3800.5,398.5342102,4,-3.43E-05,0.00836693,0,5,-0.366993845,4.993988759,1
2741919,16/10/2019 8:16,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40619007,GPWS: Don't Sink,Level 2,Bad Parameter: Bad Sensor on Airplane,493,593,80,397.0431824,4,-3.81E-04,0.01513151,0,5,-0.366993845,4.993988759,1
2742019,16/10/2019 8:01,VH-VZR,737-800,QFA - 737-800 (1024 wps),YBBN,YPAD,40618819,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,580,600,0,9.641134262,0,-0.001525879,0.020053594,0,1,-1.37830174,0.989337715,0
2742747,17/10/2019 2:59,VH-XZD,737-800,QFA - 737-800 (1024 wps),YPPH,YMML,40618747,GPWS: Glideslope,Level 2,Not a False Positive,12005,12026,1,392.3903198,2,5.55E-04,0.003820587,0,30,3.746097088,29.92190425,0
2742756,17/10/2019 5:09,VH-XZF,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40618263,Airborne Speed High,Level 2,Not a False Positive,430,450,0,396.6934814,4,-9.54E-05,0.003530169,0,5,-1.102259159,5.037489711,0
2742778,17/10/2019 1:37,VH-VZF,737-800,QFA - 737-800 (1024 wps),YBBN,YPPH,40618549,Airborne Speed High,Level 2,Not a False Positive,441,461,0,9.559968948,0,-9.54E-05,0.022616796,0,1,-1.286268234,0.989337715,0
2742813,17/10/2019 6:49,VH-VZM,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,40618124,High Bank Angle Descent Below 200 feet,Level 2,Not a False Positive,3821.5,3842,0.5,405.8564606,0,-4.81E-04,0.006232922,0,30,3.928011894,29.95120112,0
2743740,18/10/2019 5:04,VH-VXI,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40617368,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,838.5,858.5,0,387.1485748,2,-9.54E-05,0.026410676,0,1,-1.37830174,1.012420556,0
2743814,18/10/2019 5:49,VH-VZU,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40617436,Airborne Speed High,Level 2,Not a False Positive,984,1004,0,369.5942078,2,-9.54E-05,0.018891849,0,5,-0.918327272,5.037489711,0
2743906,18/10/2019 8:07,VH-VXP,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40617244,Thrust reversers delayed during landing,Level 2,Not a False Positive,4819,4900.5,61.5,12.21533108,4,0.001500658,0.018951168,0,30,4.200743198,30.19537099,0
2744335,19/10/2019 0:11,VH-VZE,737-800,QFA - 737-800 (1024 wps),YAYE,YPDN,40616888,Deep Touchdown,Level 2,Not a False Positive,7764,7784,0,89.1957016,2,-9.54E-05,0.028713574,0,30,3.837063789,30.01958974,0
2744369,19/10/2019 2:25,VH-XZK,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,40616672,Approach Speed High Below 50 ft AGL (Vref),Level 3,Not a False Positive,3010,3035,5,1872.158813,2,-3.81E-04,0.003555358,0,30,2.288068533,30.01958974,0
2744858,19/10/2019 4:17,VH-VXU,737-800,QFA - 737-800 (1024 wps),YPDN,YSSY,40616985,GPWS: Sink Rate,Level 2,Bad Parameter: Bad Sensor on Airplane,13877,13897,0,-12.66158581,2,-9.54E-05,0.004736877,0,1,1.282863617,1.007913345,1
2744858,19/10/2019 4:17,VH-VXU,737-800,QFA - 737-800 (1024 wps),YPDN,YSSY,40616986,GPWS: Pull Up,Level 2,Bad Parameter: Bad Sensor on Airplane,13877,13897,0,-12.66158581,2,-9.54E-05,0.004736877,0,1,1.282863617,1.007913345,1
2744858,19/10/2019 4:17,VH-VXU,737-800,QFA - 737-800 (1024 wps),YPDN,YSSY,40616987,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,8957,14175,5198,740.1575073,2,1.49E-05,0.004717875,0,0,0.367041558,0,1
2744976,19/10/2019 19:07,VH-VYG,737-800,QFA - 737-800 (1024 wps),YMHB,YMML,40616477,Airborne Speed High,Level 2,Not a False Positive,511,531,0,8.233343124,2,-0.001525879,0.027323183,0,1,-0.275172263,1.02594224,0
2745248,20/10/2019 1:04,VH-VXB,737-800,QFA - 737-800 (1024 wps),YPPH,YPDN,40616408,VFE (Flap Airspeed Limit) Exceedance,Level 2,Not a False Positive,11356,11380,4,115.3171768,2,-3.26E-04,0.014103658,0,10,33.99514389,10.30275345,0
2745257,20/10/2019 2:33,VH-XZM,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,40615974,Late Land Flap Selection,Level 2,Not a False Positive,6419,6439,0,42.83731842,19,-9.54E-05,0.004852554,0,40,-0.458834648,29.95120112,0
2745262,20/10/2019 2:21,VH-VYI,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40616132,GPWS: Sink Rate,Level 2,Not a False Positive,8305,8327,2,12.66788292,6,-2.13E-04,0.024796997,0,30,3.47308445,30.25396474,0
2746384,21/10/2019 2:19,VH-XZJ,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,40615170,Airborne Speed High,Level 2,Not a False Positive,340,360,0,395.3308105,10,-9.54E-05,0.016189998,0,5,-1.194254041,5.061244449,0
2747258,21/10/2019 23:20,VH-VYH,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40614541,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,2550,5133,2563,2697.83457,0,-0.037367043,0.001873994,0,0,-1.654518247,0.019003406,1
2747346,22/10/2019 0:17,VH-VZS,737-800,QFA - 737-800 (1024 wps),YPAD,YBAS,40614415,High Speed Below 3000 ft AAL,Level 2,Not a False Positive,6538,6559,1,1724.520142,0,-1.54E-04,0.009990739,0,0,31.35019875,0.014252555,0
2748486,24/10/2019 1:07,VH-XZB,737-800,QFA - 737-800 (1024 wps),YMML,YPPH,40613912,Airborne Speed High,Level 2,Not a False Positive,742,763,1,393.6095886,0,-1.54E-04,0.011702416,0,1,-1.286268234,1.012420556,0
2748486,24/10/2019 1:07,VH-XZB,737-800,QFA - 737-800 (1024 wps),YMML,YPPH,40613916,Pitch Rate Low during Rotation,Level 2,Not a False Positive,732.75,756.75,4,371.695282,0,2.00E-05,0.012256815,0,1,-1.240261137,1.012420556,0
