flight_record,flight_date_exact,tail_number,airframe,fleet,takeoff_airport_code,landing_airport_code,p14_event_record,p14_event_type,p14_severity,p14_false_positive,p14_start_of_event_10_seconds_seconds_from_start_of_file,p14_end_of_event_10_seconds_seconds_from_start_of_file,p14_data_dropouts_seconds,p14_error_b_w_gmt_and_recorded_time_around_event_percent,p14_estimated_nav_error_at_start_of_event_nm,p14_standard_deviation_of_sample_rate_of_gmt_event_interval_30_seconds_hz,p14_flap_handle_position_at_start_of_event,p14_speed_brake_handle_position_at_start_of_event_deg,p14_flap_position_at_start_of_event_deg_ted,target
2438757,11/11/2018 7:34,VH-VZC,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40815529,Late Land Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,5355,5375,25,-0.001525879,0.010085622,0,30,3.837063789,24.10161082,1
2438833,11/11/2018 10:05,VH-VZC,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40815639,Late Land Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,5171,5191,2,-0.001525879,0.004689571,0,30,3.837063789,23.22270457,1
2438670,11/11/2018 5:34,VH-VZC,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40815669,Late Land Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,4648,4668,12,-9.54E-05,0.002239014,0,30,3.837063789,17.16801453,1
2438568,11/11/2018 3:02,VH-VZC,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40815812,Late Land Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,5741,5761,2,-9.54E-05,0.002929659,0,30,3.837063789,17.28520203,1
2438432,10/11/2018 23:24,VH-VXJ,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40815894,Deep Touchdown,Level 2,Not a False Positive,7374.5,7394.5,12,-9.54E-05,0.033854,0,30,4.473305702,29.980498,0
2438457,11/11/2018 0:35,VH-VXG,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40815988,Airborne Speed High,Level 2,Not a False Positive,1314,1334,0,8.34E-05,0.058743402,0,1,-1.286268234,1.016927768,0
2437988,10/11/2018 0:10,VH-VXI,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40816080,Deep Touchdown,Level 2,Not a False Positive,4904.75,4924.75,0,-9.54E-05,0.031007558,0,30,4.291615963,30.48833974,0
2438145,10/11/2018 3:00,VH-VXG,737-800,QFA - 737-800 (1024 wps),YBAS,YSSY,40816227,Rotation Speed High,Level 2,Not a False Positive,525.25,545.25,2,-9.54E-05,0.042883711,0,5,-1.37830174,5.180015564,0
2437522,9/11/2018 4:31,VH-VXR,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40816458,Airborne Speed High,Level 2,Not a False Positive,632,653,4,5.55E-04,0.056980796,0,1,-1.470354557,0.989337715,0
2437977,9/11/2018 22:47,VH-VZG,737-800,QFA - 737-800 (1024 wps),YMML,YBAS,40816528,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,4581,9589.5,0,3.55E-05,0.008997069,0,0,-1.37830174,0.004750851,1
2437445,9/11/2018 2:43,VH-VZF,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40816636,Airborne Speed High,Level 2,Not a False Positive,465,485,6,-0.833368301,0.046423723,0,5,-0.734472454,5.061244449,0
2437227,8/11/2018 22:52,VH-VYG,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40816683,Airborne Speed High,Level 2,Not a False Positive,631,651,0,-0.001525879,0.04206482,0,5,-0.826390207,5.180015564,0
2436472,8/11/2018 9:35,VH-VXJ,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40816802,Deep Touchdown,Level 2,Not a False Positive,3830.75,3850.75,0,6.20E-04,0.031330787,0,30,4.471200466,30.01958974,0
2436496,8/11/2018 9:34,VH-VZA,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,40816879,Airborne Speed High,Level 2,Not a False Positive,423,443,2,-0.001525879,0.023843988,0,1,-0.918327272,1.021435028,0
2435955,7/11/2018 22:50,VH-VYJ,737-800,QFA - 737-800 (1024 wps),YSCB,YMML,40817135,Airborne Speed High,Level 2,Not a False Positive,444,464,0,-0.001525879,0.030913834,0,5,-0.826390207,5.203769787,0
2435635,7/11/2018 9:13,VH-VXA,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40817243,Airborne Speed High,Level 2,Not a False Positive,408,428,11,-0.001525879,0.03245861,0,5,-0.458834648,5.037489711,0
